,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,0,19,15,39,2,4
1,0,21,15,81,2,3
2,1,20,16,6,2,4
3,1,23,16,77,2,3
4,1,31,17,40,2,4
5,1,22,17,76,2,3
6,1,35,18,6,2,4
7,1,23,18,94,2,3
8,0,64,19,3,2,4
9,1,30,19,72,2,3
10,0,67,19,14,2,4
11,1,35,19,99,2,3
12,1,58,20,15,2,4
13,1,24,20,77,2,3
14,0,37,20,13,2,4
15,0,22,20,79,2,3
16,1,35,21,35,2,4
17,0,20,21,66,2,3
18,0,52,23,29,2,4
19,1,35,23,98,2,3
20,0,35,24,35,2,4
21,0,25,24,73,2,3
22,1,46,25,5,2,4
23,0,31,25,73,2,3
24,1,54,28,14,2,4
25,0,29,28,82,2,3
26,1,45,28,32,2,4
27,0,35,28,61,2,3
28,1,40,29,31,2,4
29,1,23,29,87,2,3
30,0,60,30,4,2,4
31,1,21,30,73,2,3
32,0,53,33,4,2,4
33,0,18,33,92,2,3
34,1,49,33,14,2,4
35,1,21,33,81,2,3
36,1,42,34,17,2,4
37,1,30,34,73,2,3
38,1,36,37,26,2,4
39,1,20,37,75,2,3
40,1,65,38,35,2,4
41,0,24,38,92,2,3
42,0,48,39,36,2,4
43,1,31,39,61,2,0
44,1,49,39,28,2,4
45,1,24,39,65,2,3
46,1,50,40,55,2,0
47,1,27,40,47,2,0
48,1,29,40,42,2,0
49,1,31,40,42,2,0
50,1,49,42,52,2,0
51,0,33,42,60,2,0
52,1,31,43,54,2,0
53,0,59,43,60,2,0
54,1,50,43,45,2,0
55,0,47,43,41,2,0
56,1,51,44,50,2,0
57,0,69,44,46,2,0
58,1,27,46,51,2,0
59,0,53,46,46,2,0
60,0,70,46,56,2,0
61,0,19,46,55,2,0
62,1,67,47,52,2,0
63,1,54,47,59,2,0
64,0,63,48,51,2,0
65,0,18,48,59,2,0
66,1,43,48,50,2,0
67,1,68,48,48,2,0
68,0,19,48,59,2,0
69,1,32,48,47,2,0
70,0,70,49,55,2,0
71,1,47,49,42,2,0
72,1,60,50,49,0,0
73,1,60,50,56,0,0
74,0,59,54,47,0,0
75,0,26,54,54,0,0
76,1,45,54,53,0,0
77,0,40,54,48,0,0
78,1,23,54,52,0,0
79,1,49,54,42,0,0
80,0,57,54,51,0,0
81,0,38,54,55,0,0
82,0,67,54,41,0,0
83,1,46,54,44,0,0
84,1,21,54,57,0,0
85,0,48,54,46,0,0
86,1,55,57,58,0,0
87,1,22,57,55,0,0
88,1,34,58,60,0,0
89,1,50,58,46,0,0
90,1,68,59,55,0,0
91,0,18,59,41,0,0
92,0,48,60,49,0,0
93,1,40,60,40,0,0
94,1,32,60,42,0,0
95,0,24,60,52,0,0
96,1,47,60,47,0,0
97,1,27,60,50,0,0
98,0,48,61,42,0,0
99,0,20,61,49,0,0
100,1,23,62,41,0,0
101,1,49,62,48,0,0
102,0,67,62,59,0,0
103,0,26,62,55,0,0
104,0,49,62,56,0,0
105,1,21,62,42,0,0
106,1,66,63,50,0,0
107,0,54,63,46,0,0
108,0,68,63,43,0,0
109,0,66,63,48,0,0
110,0,65,63,52,0,0
111,1,19,63,54,0,0
112,1,38,64,42,0,0
113,0,19,64,46,0,0
114,1,18,65,48,0,0
115,1,19,65,50,0,0
116,1,63,65,43,0,0
117,1,49,65,59,0,0
118,1,51,67,43,0,0
119,1,50,67,57,0,0
120,0,27,67,56,0,0
121,1,38,67,40,0,0
122,1,40,69,58,0,0
123,0,39,69,91,0,1
124,1,23,70,29,0,2
125,1,31,70,77,0,1
126,0,43,71,35,0,0
127,0,40,71,95,0,1
128,0,59,71,11,0,2
129,0,38,71,75,0,1
130,0,47,71,9,0,2
131,0,39,71,75,0,1
132,1,25,72,34,0,0
133,1,31,72,71,0,1
134,0,20,73,5,0,2
135,1,29,73,88,0,1
